# Radial distribution function: CC
# Row Dist g(r)
1 0.500000 0.007380
2 0.597990 0.000008
3 0.695980 0.001536
4 0.793970 0.004623
5 0.891960 0.009152
6 0.989950 0.000780
7 1.087940 0.008694
8 1.185930 0.003581
9 1.283920 0.002854
10 1.381910 0.000093
11 1.479899 0.007282
12 1.577889 0.000015
13 1.675879 0.006371
14 1.773869 0.006167
15 1.871859 0.004057
16 1.969849 0.003491
17 2.067839 0.000079
18 2.165829 0.000553
19 2.263819 0.000064
20 2.361809 0.000894
21 2.459799 0.000784
22 2.557789 0.005159
23 2.655779 0.009833
24 2.753769 0.000196
25 2.851759 0.009048
26 2.949749 0.008161
27 3.047739 0.005324
28 3.145729 0.006280
29 3.243719 0.011745
30 3.341709 0.007096
31 3.439698 0.003170
32 3.537688 0.000791
33 3.635678 0.012476
34 3.733668 0.010617
35 3.831658 0.007402
36 3.929648 0.004186
37 4.027638 0.005978
38 4.125628 0.007900
39 4.223618 0.006736
40 4.321608 0.000329
41 4.419598 0.008265
42 4.517588 0.005533
43 4.615578 0.000081
44 4.713568 0.004917
45 4.811558 0.005362
46 4.909548 0.000016
47 5.007538 0.271345
48 5.105528 0.965453
49 5.203518 0.747896
50 5.301508 1.914091
51 5.399497 3.489928
52 5.497487 5.505708
53 5.595477 5.908585
54 5.693467 8.073627
55 5.791457 9.427081
56 5.889447 11.034925
57 5.987437 11.247292
58 6.085427 12.780482
59 6.183417 14.129488
60 6.281407 14.167425
61 6.379397 14.237873
62 6.477387 15.528133
63 6.575377 15.722260
64 6.673367 15.372196
65 6.771357 15.675888
66 6.869347 15.563748
67 6.967337 15.647661
68 7.065327 15.710964
69 7.163317 15.918271
70 7.261307 15.765183
71 7.359296 15.805331
72 7.457286 15.951348
73 7.555276 15.741416
74 7.653266 15.549378
75 7.751256 15.727714
76 7.849246 15.562991
77 7.947236 15.530025
78 8.045226 15.398123
79 8.143216 15.071414
80 8.241206 14.871046
81 8.339196 15.263347
82 8.437186 14.816490
83 8.535176 14.466192
84 8.633166 14.380156
85 8.731156 14.074737
86 8.829146 13.885552
87 8.927136 13.224972
88 9.025126 13.119868
89 9.123116 13.087449
90 9.221106 12.751050
91 9.319095 12.331836
92 9.417085 11.870539
93 9.515075 11.381858
94 9.613065 11.457134
95 9.711055 10.895787
96 9.809045 10.090128
97 9.907035 10.108299
98 10.005025 9.596745
99 10.103015 8.786822
100 10.201005 8.229934
101 10.298995 8.383389
102 10.396985 7.538846
103 10.494975 6.532756
104 10.592965 6.086591
105 10.690955 6.362656
106 10.788945 5.369534
107 10.886935 4.644875
108 10.984925 4.096108
109 11.082915 4.072905
110 11.180905 3.867384
111 11.278894 3.123661
112 11.376884 2.558562
113 11.474874 2.844967
114 11.572864 2.469590
115 11.670854 1.947711
116 11.768844 1.636596
117 11.866834 1.707532
118 11.964824 1.642952
119 12.062814 1.430917
120 12.160804 1.328838
121 12.258794 1.314389
122 12.356784 1.191520
123 12.454774 0.910517
124 12.552764 1.080888
125 12.650754 0.981553
126 12.748744 1.098040
127 12.846734 1.108231
128 12.944724 1.212428
129 13.042714 1.115657
130 13.140704 1.120156
131 13.238693 1.264758
132 13.336683 1.330468
133 13.434673 1.370943
134 13.532663 1.093588
135 13.630653 1.436333
136 13.728643 0.968690
137 13.826633 1.135372
138 13.924623 1.433728
139 14.022613 1.267704
140 14.120603 1.316836
141 14.218593 1.241060
142 14.316583 1.406964
143 14.414573 1.409536
144 14.512563 1.655874
145 14.610553 1.289783
146 14.708543 1.462851
147 14.806533 1.103637
148 14.904523 1.185131
149 15.002513 1.101261
150 15.100503 1.170537
151 15.198492 1.073552
152 15.296482 1.217576
153 15.394472 1.111685
154 15.492462 1.063126
155 15.590452 1.053576
156 15.688442 0.978422
157 15.786432 1.103307
158 15.884422 1.102991
159 15.982412 1.300745
160 16.080402 1.206184
161 16.178392 1.273500
162 16.276382 1.222286
163 16.374372 1.315822
164 16.472362 1.443094
165 16.570352 1.439326
166 16.668342 1.168445
167 16.766332 1.281237
168 16.864322 1.297599
169 16.962312 1.131498
170 17.060302 1.107685
171 17.158291 1.179955
172 17.256281 1.163232
173 17.354271 1.194486
174 17.452261 1.136339
175 17.550251 1.134212
176 17.648241 1.126839
177 17.746231 1.188872
178 17.844221 1.201488
179 17.942211 0.972456
180 18.040201 0.886946
181 18.138191 0.984364
182 18.236181 1.018447
183 18.334171 1.032945
184 18.432161 0.904905
185 18.530151 0.866325
186 18.628141 0.906103
187 18.726131 1.004517
188 18.824121 0.993991
189 18.922111 0.887957
190 19.020101 0.829138
191 19.118090 0.902282
192 19.216080 0.815293
193 19.314070 0.721933
194 19.412060 0.852402
195 19.510050 0.762742
196 19.608040 0.891037
197 19.706030 0.863185
198 19.804020 0.920870
199 19.902010 0.970904
200 20.000000 1.018491
