# Radial distribution function: CO
# Row Dist g(r)
1 0.500000 0.002849
2 0.597990 0.002433
3 0.695980 0.023577
4 0.793970 0.004297
5 0.891960 0.004494
6 0.989950 0.006235
7 1.087940 0.014226
8 1.185930 0.000048
9 1.283920 0.004404
10 1.381910 0.000150
11 1.479899 0.003751
12 1.577889 0.000037
13 1.675879 0.010272
14 1.773869 0.010140
15 1.871859 0.003303
16 1.969849 0.002806
17 2.067839 0.003227
18 2.165829 0.000622
19 2.263819 0.011179
20 2.361809 0.000645
21 2.459799 0.017306
22 2.557789 0.000047
23 2.655779 0.022343
24 2.753769 0.006587
25 2.851759 0.041237
26 2.949749 0.007344
27 3.047739 0.022328
28 3.145729 0.010346
29 3.243719 0.003288
30 3.341709 0.005310
31 3.439698 0.002780
32 3.537688 0.013895
33 3.635678 0.001970
34 3.733668 0.000040
35 3.831658 0.004878
36 3.929648 0.009452
37 4.027638 0.000137
38 4.125628 0.001007
39 4.223618 0.003946
40 4.321608 0.013137
41 4.419598 0.005279
42 4.517588 0.000132
43 4.615578 0.005856
44 4.713568 0.004534
45 4.811558 0.017787
46 4.909548 0.004249
47 5.007538 0.000778
48 5.105528 0.010328
49 5.203518 0.000409
50 5.301508 0.002436
51 5.399497 0.227138
52 5.497487 0.295281
53 5.595477 0.306685
54 5.693467 0.425121
55 5.791457 0.523030
56 5.889447 0.598158
57 5.987437 0.556136
58 6.085427 0.603190
59 6.183417 0.644023
60 6.281407 0.657600
61 6.379397 0.714467
62 6.477387 0.652833
63 6.575377 0.656221
64 6.673367 0.721852
65 6.771357 0.587088
66 6.869347 0.715485
67 6.967337 0.696681
68 7.065327 0.644114
69 7.163317 0.604973
70 7.261307 0.710362
71 7.359296 0.803400
72 7.457286 0.709252
73 7.555276 0.646555
74 7.653266 0.659956
75 7.751256 0.743995
76 7.849246 0.773557
77 7.947236 0.712215
78 8.045226 0.773541
79 8.143216 0.649057
80 8.241206 0.636166
81 8.339196 0.702529
82 8.437186 0.564023
83 8.535176 0.706520
84 8.633166 0.636409
85 8.731156 0.633299
86 8.829146 0.671178
87 8.927136 0.670140
88 9.025126 0.711788
89 9.123116 0.624364
90 9.221106 0.686902
91 9.319095 0.705392
92 9.417085 0.703418
93 9.515075 0.721587
94 9.613065 0.860071
95 9.711055 0.742795
96 9.809045 0.749795
97 9.907035 0.783054
98 10.005025 0.832850
99 10.103015 0.785963
100 10.201005 0.893252
101 10.298995 0.786728
102 10.396985 0.861978
103 10.494975 0.847108
104 10.592965 0.961207
105 10.690955 0.896934
106 10.788945 0.991150
107 10.886935 0.904081
108 10.984925 0.943541
109 11.082915 0.819864
110 11.180905 0.898677
111 11.278894 0.970205
112 11.376884 0.834523
113 11.474874 0.894272
114 11.572864 0.986828
115 11.670854 0.842574
116 11.768844 0.961871
117 11.866834 0.957373
118 11.964824 0.968108
119 12.062814 0.969916
120 12.160804 0.874189
121 12.258794 0.961594
122 12.356784 1.060326
123 12.454774 0.987743
124 12.552764 0.949719
125 12.650754 0.926609
126 12.748744 0.931319
127 12.846734 0.808111
128 12.944724 1.015047
129 13.042714 1.008683
130 13.140704 0.954918
131 13.238693 1.047648
132 13.336683 1.108196
133 13.434673 1.023639
134 13.532663 1.026164
135 13.630653 0.983378
136 13.728643 1.094065
137 13.826633 1.081473
138 13.924623 1.010029
139 14.022613 1.103164
140 14.120603 1.013920
141 14.218593 1.077592
142 14.316583 0.994821
143 14.414573 1.074837
144 14.512563 1.018999
145 14.610553 0.967757
146 14.708543 1.020510
147 14.806533 1.137305
148 14.904523 1.086631
149 15.002513 1.081704
150 15.100503 1.218859
151 15.198492 0.991915
152 15.296482 1.075963
153 15.394472 1.080196
154 15.492462 1.028536
155 15.590452 0.962339
156 15.688442 1.056585
157 15.786432 1.022442
158 15.884422 0.984134
159 15.982412 0.994826
160 16.080402 0.921253
161 16.178392 0.959594
162 16.276382 0.967698
163 16.374372 1.008535
164 16.472362 0.982437
165 16.570352 0.867434
166 16.668342 1.009103
167 16.766332 0.850971
168 16.864322 0.917126
169 16.962312 1.046707
170 17.060302 0.905606
171 17.158291 0.957822
172 17.256281 0.871199
173 17.354271 0.958816
174 17.452261 0.928131
175 17.550251 1.029293
176 17.648241 0.901568
177 17.746231 1.010045
178 17.844221 1.012912
179 17.942211 0.991331
180 18.040201 0.957418
181 18.138191 0.880076
182 18.236181 0.936258
183 18.334171 0.972164
184 18.432161 0.991234
185 18.530151 0.993174
186 18.628141 0.992280
187 18.726131 0.970570
188 18.824121 0.986272
189 18.922111 0.992560
190 19.020101 0.943010
191 19.118090 1.139896
192 19.216080 0.940321
193 19.314070 1.029565
194 19.412060 1.016876
195 19.510050 0.978892
196 19.608040 0.907610
197 19.706030 1.066706
198 19.804020 0.887490
199 19.902010 0.954119
200 20.000000 0.897143
