# Radial distribution function: OO
# Row Dist g(r)
1 0.500000 0.008330
2 0.597990 0.000232
3 0.695980 0.000535
4 0.793970 0.002479
5 0.891960 0.005718
6 0.989950 0.000162
7 1.087940 0.003467
8 1.185930 0.004056
9 1.283920 0.002149
10 1.381910 0.001338
11 1.479899 0.011186
12 1.577889 0.000002
13 1.675879 0.000017
14 1.773869 0.001998
15 1.871859 0.013584
16 1.969849 0.008356
17 2.067839 0.001307
18 2.165829 0.004819
19 2.263819 0.000658
20 2.361809 0.006023
21 2.459799 0.008673
22 2.557789 0.010995
23 2.655779 0.003313
24 2.753769 0.010985
25 2.851759 0.002592
26 2.949749 0.000990
27 3.047739 0.000896
28 3.145729 0.003753
29 3.243719 0.012398
30 3.341709 0.004733
31 3.439698 0.000332
32 3.537688 0.004017
33 3.635678 0.000219
34 3.733668 0.005277
35 3.831658 0.011820
36 3.929648 0.012413
37 4.027638 0.000362
38 4.125628 0.004714
39 4.223618 0.000619
40 4.321608 0.006396
41 4.419598 0.006335
42 4.517588 0.001826
43 4.615578 0.461491
44 4.713568 2.211514
45 4.811558 1.982404
46 4.909548 2.925580
47 5.007538 2.916776
48 5.105528 2.158071
49 5.203518 1.898974
50 5.301508 1.632965
51 5.399497 1.121974
52 5.497487 0.799524
53 5.595477 0.715623
54 5.693467 0.800919
55 5.791457 0.774781
56 5.889447 0.627321
57 5.987437 0.819803
58 6.085427 0.772071
59 6.183417 0.833673
60 6.281407 0.825093
61 6.379397 0.777295
62 6.477387 0.915658
63 6.575377 0.991607
64 6.673367 0.945063
65 6.771357 0.929444
66 6.869347 0.933232
67 6.967337 0.964775
68 7.065327 1.118451
69 7.163317 0.995075
70 7.261307 1.052502
71 7.359296 0.987756
72 7.457286 1.181232
73 7.555276 0.922638
74 7.653266 1.128595
75 7.751256 1.043911
76 7.849246 1.314237
77 7.947236 1.124171
78 8.045226 1.145948
79 8.143216 1.087866
80 8.241206 1.092453
81 8.339196 0.993946
82 8.437186 0.956121
83 8.535176 0.882255
84 8.633166 0.827098
85 8.731156 0.878209
86 8.829146 0.919450
87 8.927136 0.730127
88 9.025126 0.892232
89 9.123116 0.921670
90 9.221106 0.719919
91 9.319095 0.892487
92 9.417085 0.829817
93 9.515075 0.745553
94 9.613065 0.771056
95 9.711055 0.905698
96 9.809045 0.972541
97 9.907035 0.772782
98 10.005025 1.016280
99 10.103015 0.927775
100 10.201005 1.080173
101 10.298995 1.028263
102 10.396985 0.890505
103 10.494975 1.054428
104 10.592965 1.021641
105 10.690955 1.193394
106 10.788945 1.053186
107 10.886935 0.956424
108 10.984925 0.888703
109 11.082915 0.994350
110 11.180905 0.898187
111 11.278894 0.972801
112 11.376884 1.009285
113 11.474874 0.948361
114 11.572864 1.019477
115 11.670854 0.907426
116 11.768844 1.007257
117 11.866834 1.138755
118 11.964824 0.973372
119 12.062814 1.003743
120 12.160804 1.062172
121 12.258794 0.750958
122 12.356784 0.766071
123 12.454774 0.993266
124 12.552764 1.059651
125 12.650754 1.020037
126 12.748744 0.962695
127 12.846734 0.860261
128 12.944724 0.827930
129 13.042714 0.795363
130 13.140704 0.961603
131 13.238693 0.974729
132 13.336683 0.995388
133 13.434673 0.987314
134 13.532663 0.947984
135 13.630653 0.863818
136 13.728643 0.922990
137 13.826633 1.120938
138 13.924623 1.007605
139 14.022613 1.004035
140 14.120603 0.931625
141 14.218593 0.654395
142 14.316583 1.034786
143 14.414573 0.752306
144 14.512563 0.922744
145 14.610553 1.000852
146 14.708543 1.026749
147 14.806533 0.785367
148 14.904523 1.186243
149 15.002513 0.934171
150 15.100503 0.842899
151 15.198492 0.841234
152 15.296482 1.007541
153 15.394472 1.087638
154 15.492462 0.893016
155 15.590452 0.862179
156 15.688442 1.064201
157 15.786432 1.056993
158 15.884422 0.910592
159 15.982412 1.065262
160 16.080402 0.961533
161 16.178392 0.932340
162 16.276382 1.076995
163 16.374372 0.815427
164 16.472362 1.095259
165 16.570352 1.061818
166 16.668342 1.037985
167 16.766332 0.977877
168 16.864322 0.869873
169 16.962312 1.056613
170 17.060302 0.916484
171 17.158291 0.930233
172 17.256281 0.746835
173 17.354271 0.935568
174 17.452261 0.899984
175 17.550251 0.847789
176 17.648241 0.867871
177 17.746231 1.055482
178 17.844221 0.900763
179 17.942211 1.077777
180 18.040201 1.060696
181 18.138191 1.121370
182 18.236181 0.936991
183 18.334171 0.966069
184 18.432161 0.808284
185 18.530151 0.820317
186 18.628141 0.830090
187 18.726131 0.815102
188 18.824121 0.867463
189 18.922111 0.930120
190 19.020101 0.889992
191 19.118090 0.948388
192 19.216080 1.023570
193 19.314070 1.115717
194 19.412060 0.827806
195 19.510050 1.101868
196 19.608040 1.083594
197 19.706030 0.963158
198 19.804020 1.062104
199 19.902010 1.039170
200 20.000000 0.987894
