# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 298.071930 -32.460381 -21074.753906 3334.614014 54566.757812 1.045477
600200 298.701416 -85.055756 -21014.955078 3341.656250 54547.507812 1.045846
600300 298.999207 -105.524994 -20976.994141 3344.987549 54572.593750 1.045365
600400 299.220551 -114.626106 -20943.583984 3347.463623 54593.437500 1.044966
600500 299.385773 -117.282867 -20915.429688 3349.312256 54612.539062 1.044601
600600 299.504211 -116.709518 -20893.214844 3350.637207 54627.675781 1.044311
600700 299.585968 -114.759842 -20876.349609 3351.551758 54638.832031 1.044098
600800 299.641144 -112.453072 -20863.841797 3352.168945 54646.796875 1.043946
600900 299.677856 -110.288666 -20854.701172 3352.579834 54652.406250 1.043839
601000 299.702087 -108.461159 -20848.093750 3352.851074 54656.355469 1.043763
601100 299.718140 -107.011070 -20843.369141 3353.030273 54659.156250 1.043710
601200 299.728790 -105.907249 -20840.013672 3353.149658 54661.128906 1.043672
601300 299.735962 -105.093788 -20837.646484 3353.229980 54662.523438 1.043645
601400 299.740845 -104.497719 -20835.994141 3353.284424 54663.484375 1.043627
601500 299.744202 -104.078918 -20834.843750 3353.322021 54664.156250 1.043614
601600 299.746582 -103.786667 -20834.056641 3353.348877 54664.609375 1.043606
601700 299.748291 -103.587135 -20833.521484 3353.367920 54664.902344 1.043600
601800 299.749542 -103.450027 -20833.166016 3353.381836 54665.070312 1.043597
601900 299.750427 -103.361214 -20832.937500 3353.391602 54665.164062 1.043595
602000 299.751099 -103.300323 -20832.785156 3353.399170 54665.203125 1.043594
602100 299.751587 -103.266754 -20832.701172 3353.404541 54665.195312 1.043594
602200 299.751984 -103.243546 -20832.650391 3353.409180 54665.175781 1.043595
602300 299.752258 -103.232239 -20832.634766 3353.412109 54665.121094 1.043596
602400 299.752502 -103.228622 -20832.636719 3353.414795 54665.058594 1.043597
602500 299.752686 -103.229439 -20832.648438 3353.416748 54664.996094 1.043598
602600 299.752808 -103.232811 -20832.669922 3353.418457 54664.917969 1.043600
602700 299.752930 -103.238594 -20832.695312 3353.419678 54664.847656 1.043601
602800 299.752991 -103.242699 -20832.724609 3353.420410 54664.773438 1.043602
602900 299.753082 -103.253639 -20832.757812 3353.421387 54664.695312 1.043604
603000 299.753143 -103.258324 -20832.791016 3353.422119 54664.632812 1.043605
603100 299.753174 -103.266800 -20832.822266 3353.422363 54664.566406 1.043606
603200 299.753174 -103.273933 -20832.851562 3353.422363 54664.503906 1.043608
603300 299.753174 -103.286247 -20832.886719 3353.422363 54664.441406 1.043609
603400 299.753174 -103.297195 -20832.919922 3353.422363 54664.386719 1.043610
603500 299.753174 -103.305573 -20832.947266 3353.422363 54664.339844 1.043611
603600 299.753174 -103.316719 -20832.978516 3353.422363 54664.289062 1.043612
603700 299.753174 -103.326408 -20833.001953 3353.422363 54664.242188 1.043613
603800 299.753143 -103.333359 -20833.027344 3353.422119 54664.199219 1.043613
603900 299.753174 -103.341011 -20833.046875 3353.422363 54664.152344 1.043614
604000 299.753143 -103.347023 -20833.070312 3353.422119 54664.117188 1.043615
604100 299.753113 -103.356888 -20833.093750 3353.421631 54664.085938 1.043616
604200 299.753052 -103.365501 -20833.117188 3353.421143 54664.054688 1.043616
604300 299.753021 -103.376671 -20833.132812 3353.420654 54664.027344 1.043617
604400 299.752991 -103.387283 -20833.152344 3353.420410 54663.996094 1.043617
604500 299.752960 -103.396278 -20833.169922 3353.420166 54663.980469 1.043618
604600 299.752960 -103.406654 -20833.187500 3353.420166 54663.957031 1.043618
604700 299.752930 -103.415115 -20833.203125 3353.419678 54663.941406 1.043618
604800 299.752869 -103.427322 -20833.220703 3353.419189 54663.917969 1.043619
604900 299.752838 -103.441528 -20833.238281 3353.418701 54663.898438 1.043619
605000 299.752808 -103.452881 -20833.257812 3353.418457 54663.882812 1.043619
605100 299.752747 -103.462364 -20833.269531 3353.417725 54663.867188 1.043620
605200 299.752686 -103.471207 -20833.287109 3353.416748 54663.851562 1.043620
605300 299.752594 -103.479675 -20833.300781 3353.415771 54663.839844 1.043620
605400 299.752533 -103.489380 -20833.308594 3353.415039 54663.832031 1.043620
605500 299.752472 -103.503479 -20833.318359 3353.414551 54663.816406 1.043621
605600 299.752411 -103.512108 -20833.333984 3353.413818 54663.808594 1.043621
605700 299.752350 -103.525719 -20833.349609 3353.413086 54663.800781 1.043621
605800 299.752289 -103.537712 -20833.365234 3353.412598 54663.789062 1.043621
605900 299.752258 -103.551819 -20833.378906 3353.412109 54663.777344 1.043621
606000 299.752197 -103.565598 -20833.386719 3353.411621 54663.777344 1.043621
606100 299.752167 -103.577034 -20833.394531 3353.411133 54663.773438 1.043622
606200 299.752136 -103.587219 -20833.406250 3353.410889 54663.773438 1.043622
606300 299.752045 -103.599884 -20833.416016 3353.409912 54663.773438 1.043622
606400 299.752014 -103.610397 -20833.425781 3353.409424 54663.773438 1.043622
606500 299.751953 -103.621429 -20833.437500 3353.408936 54663.773438 1.043622
606600 299.751892 -103.634201 -20833.449219 3353.408203 54663.773438 1.043622
606700 299.751831 -103.645523 -20833.460938 3353.407227 54663.773438 1.043622
606800 299.751770 -103.658615 -20833.466797 3353.406494 54663.769531 1.043622
606900 299.751678 -103.666718 -20833.474609 3353.405518 54663.769531 1.043622
607000 299.751617 -103.678970 -20833.484375 3353.404785 54663.769531 1.043622
607100 299.751556 -103.689651 -20833.496094 3353.404297 54663.769531 1.043622
607200 299.751495 -103.702698 -20833.507812 3353.403564 54663.773438 1.043622
607300 299.751434 -103.712868 -20833.517578 3353.402832 54663.773438 1.043622
607400 299.751373 -103.725365 -20833.523438 3353.402344 54663.773438 1.043622
607500 299.751282 -103.738861 -20833.535156 3353.401367 54663.773438 1.043622
607600 299.751221 -103.749451 -20833.542969 3353.400635 54663.773438 1.043622
607700 299.751190 -103.759224 -20833.550781 3353.400391 54663.773438 1.043622
607800 299.751160 -103.770325 -20833.558594 3353.399902 54663.777344 1.043621
607900 299.751099 -103.780876 -20833.564453 3353.399170 54663.785156 1.043621
608000 299.751038 -103.788567 -20833.570312 3353.398682 54663.789062 1.043621
608100 299.750946 -103.800926 -20833.578125 3353.397705 54663.785156 1.043621
608200 299.750885 -103.812393 -20833.583984 3353.396729 54663.785156 1.043621
608300 299.750824 -103.825165 -20833.595703 3353.395996 54663.789062 1.043621
608400 299.750763 -103.835052 -20833.599609 3353.395264 54663.800781 1.043621
608500 299.750702 -103.848259 -20833.609375 3353.394775 54663.800781 1.043621
608600 299.750641 -103.858925 -20833.615234 3353.394043 54663.800781 1.043621
608700 299.750549 -103.866547 -20833.623047 3353.393066 54663.800781 1.043621
608800 299.750488 -103.878258 -20833.628906 3353.392334 54663.804688 1.043621
608900 299.750458 -103.890167 -20833.636719 3353.392090 54663.804688 1.043621
609000 299.750427 -103.905159 -20833.642578 3353.391602 54663.808594 1.043621
609100 299.750366 -103.913658 -20833.648438 3353.391113 54663.816406 1.043621
609200 299.750275 -103.924042 -20833.654297 3353.390137 54663.820312 1.043621
609300 299.750244 -103.934990 -20833.660156 3353.389648 54663.832031 1.043620
609400 299.750183 -103.943588 -20833.666016 3353.389160 54663.835938 1.043620
609500 299.750122 -103.953224 -20833.671875 3353.388428 54663.839844 1.043620
609600 299.750061 -103.962616 -20833.677734 3353.387695 54663.839844 1.043620
609700 299.750000 -103.972527 -20833.685547 3353.386719 54663.839844 1.043620
609800 299.749939 -103.981155 -20833.689453 3353.385986 54663.847656 1.043620
609900 299.749878 -103.991295 -20833.699219 3353.385498 54663.839844 1.043620
610000 299.749817 -104.001907 -20833.703125 3353.384766 54663.847656 1.043620
610100 299.749786 -104.013313 -20833.708984 3353.384521 54663.851562 1.043620
