# Radial distribution function: CO
# Row Dist g(r)
1 0.000000 0.001924
2 0.050251 0.013323
3 0.100503 0.011565
4 0.150754 0.007446
5 0.201005 0.000311
6 0.251256 0.005097
7 0.301508 0.008904
8 0.351759 0.004252
9 0.402010 0.000320
10 0.452261 0.003454
11 0.502513 0.014601
12 0.552764 0.022397
13 0.603015 0.001061
14 0.653266 0.000461
15 0.703518 0.008679
16 0.753769 0.000113
17 0.804020 0.015083
18 0.854271 0.015703
19 0.904523 0.010074
20 0.954774 0.008482
21 1.005025 0.008111
22 1.055276 0.017155
23 1.105528 0.007297
24 1.155779 0.004629
25 1.206030 0.013067
26 1.256281 0.000663
27 1.306533 0.010032
28 1.356784 0.004086
29 1.407035 0.002117
30 1.457286 0.009356
31 1.507538 0.004156
32 1.557789 0.002042
33 1.608040 0.019896
34 1.658291 0.000913
35 1.708543 0.003354
36 1.758794 0.007085
37 1.809045 0.013790
38 1.859296 0.010423
39 1.909548 0.013203
40 1.959799 0.010153
41 2.010050 0.003543
42 2.060302 0.014490
43 2.110553 0.000229
44 2.160804 0.035944
45 2.211055 0.000379
46 2.261307 0.004021
47 2.311558 0.008576
48 2.361809 0.023774
49 2.412060 0.004933
50 2.462312 0.037558
51 2.512563 0.014604
52 2.562814 0.135101
53 2.613065 0.162235
54 2.663317 0.263230
55 2.713568 0.376781
56 2.763819 0.376850
57 2.814070 0.538489
58 2.864322 0.477097
59 2.914573 0.420208
60 2.964824 0.528508
61 3.015075 0.270358
62 3.065327 0.640632
63 3.115578 0.400300
64 3.165829 0.725869
65 3.216080 0.491035
66 3.266332 0.381702
67 3.316583 0.406226
68 3.366834 0.366909
69 3.417085 0.583469
70 3.467337 0.535153
71 3.517588 0.398622
72 3.567839 0.334145
73 3.618090 0.720103
74 3.668342 0.360829
75 3.718593 0.554241
76 3.768844 0.404414
77 3.819095 0.362654
78 3.869347 0.616557
79 3.919598 0.604000
80 3.969849 0.454335
81 4.020101 0.578610
82 4.070352 0.593375
83 4.120603 0.604191
84 4.170854 0.409539
85 4.221106 0.315148
86 4.271357 0.290085
87 4.321608 0.761132
88 4.371859 0.446907
89 4.422111 0.337405
90 4.472362 0.643148
91 4.522613 0.605390
92 4.572864 0.541060
93 4.623116 0.917847
94 4.673367 0.516876
95 4.723618 0.638586
96 4.773869 0.586027
97 4.824121 1.053595
98 4.874372 0.691941
99 4.924623 0.720576
100 4.974874 0.671163
101 5.025126 0.545424
102 5.075377 0.708976
103 5.125628 0.636844
104 5.175879 0.849993
105 5.226131 0.812925
106 5.276382 0.622832
107 5.326633 0.977571
108 5.376884 0.621002
109 5.427136 1.019062
110 5.477387 0.929200
111 5.527638 0.830707
112 5.577889 0.600551
113 5.628141 0.799089
114 5.678392 0.971308
115 5.728643 0.859478
116 5.778894 1.027329
117 5.829146 0.888745
118 5.879397 0.630958
119 5.929648 0.795131
120 5.979899 0.883904
121 6.030151 0.902149
122 6.080402 0.780971
123 6.130653 0.816685
124 6.180905 1.086965
125 6.231156 0.758801
126 6.281407 0.372619
127 6.331658 1.119110
128 6.381910 1.255920
129 6.432161 0.934442
130 6.482412 0.690464
131 6.532663 0.889859
132 6.582915 1.157013
133 6.633166 0.881438
134 6.683417 1.243474
135 6.733668 0.926539
136 6.783920 1.036847
137 6.834171 1.232954
138 6.884422 1.263285
139 6.934673 0.928352
140 6.984925 0.725591
141 7.035176 0.940183
142 7.085427 0.733682
143 7.135678 0.955580
144 7.185930 0.961279
145 7.236181 0.868786
146 7.286432 0.846670
147 7.336683 0.952456
148 7.386935 0.992286
149 7.437186 0.800414
150 7.487437 0.600424
151 7.537688 0.915749
152 7.587940 1.111050
153 7.638191 1.138216
154 7.688442 1.001095
155 7.738693 0.875129
156 7.788945 0.886202
157 7.839196 0.872822
158 7.889447 0.878249
159 7.939698 0.698078
160 7.989950 0.784038
161 8.040201 0.843107
162 8.090452 0.820466
163 8.140704 0.983393
164 8.190955 0.444210
165 8.241206 0.990168
166 8.291457 0.855495
167 8.341709 0.777568
168 8.391960 0.858009
169 8.442211 0.671606
170 8.492462 0.636718
171 8.542714 0.795644
172 8.592965 0.600905
173 8.643216 0.969869
174 8.693467 0.613086
175 8.743719 0.784705
176 8.793970 0.813415
177 8.844221 0.684846
178 8.894472 0.880392
179 8.944724 1.082941
180 8.994975 0.957679
181 9.045226 0.711951
182 9.095477 0.848725
183 9.145729 0.926726
184 9.195980 1.138697
185 9.246231 0.595724
186 9.296482 0.822762
187 9.346734 0.813524
188 9.396985 0.957037
189 9.447236 0.792363
190 9.497487 0.857149
191 9.547739 0.827874
192 9.597990 0.833336
193 9.648241 0.719879
194 9.698492 0.726686
195 9.748744 0.746841
196 9.798995 0.699953
197 9.849246 0.748134
198 9.899497 0.815598
199 9.949749 0.934224
200 10.000000 0.634523
