# TimeStep Temp Press PotEng KinEng Volume Density
0 296.90 10.32 -21137.84 3350.00 54000.00 1.0457
100 298.08 -170.66 -21053.98 3350.00 54000.00 1.0456
200 298.55 -209.64 -21032.61 3350.00 54000.00 1.0456
300 298.85 -229.81 -21016.13 3350.00 54000.00 1.0455
400 299.04 -238.75 -21002.40 3350.00 54000.00 1.0454
500 299.18 -242.00 -20991.40 3350.00 54000.00 1.0453
600 299.27 -242.44 -20982.79 3350.00 54000.00 1.0453
700 299.34 -241.55 -20976.11 3350.00 54000.00 1.0453
800 299.40 -240.12 -20970.96 3350.00 54000.00 1.0453
900 299.44 -238.50 -20966.95 3350.00 54000.00 1.0453
1000 299.47 -236.91 -20963.82 3350.00 54000.00 1.0453
1100 299.50 -235.44 -20961.34 3350.00 54000.00 1.0453
1200 299.52 -234.11 -20959.36 3350.00 54000.00 1.0453
1300 299.54 -232.94 -20957.76 3350.00 54000.00 1.0453
1400 299.55 -231.92 -20956.45 3350.00 54000.00 1.0453
1500 299.56 -231.04 -20955.39 3350.00 54000.00 1.0453
1600 299.57 -230.27 -20954.52 3350.00 54000.00 1.0453
1700 299.57 -229.62 -20953.80 3350.00 54000.00 1.0453
1800 299.58 -229.07 -20953.21 3350.00 54000.00 1.0453
1900 299.58 -228.60 -20952.73 3350.00 54000.00 1.0453
2000 299.59 -228.19 -20952.33 3350.00 54000.00 1.0453
2100 299.59 -227.85 -20952.00 3350.00 54000.00 1.0453
2200 299.59 -227.54 -20951.72 3350.00 54000.00 1.0453
2300 299.59 -227.29 -20951.49 3350.00 54000.00 1.0453
2400 299.59 -227.07 -20951.30 3350.00 54000.00 1.0453
2500 299.60 -226.88 -20951.14 3350.00 54000.00 1.0453
2600 299.60 -226.72 -20951.00 3350.00 54000.00 1.0453
2700 299.60 -226.57 -20950.89 3350.00 54000.00 1.0453
2800 299.60 -226.44 -20950.80 3350.00 54000.00 1.0453
2900 299.60 -226.32 -20950.72 3350.00 54000.00 1.0453
3000 299.60 -226.22 -20950.65 3350.00 54000.00 1.0453
3100 299.60 -226.12 -20950.59 3350.00 54000.00 1.0453
3200 299.60 -226.04 -20950.53 3350.00 54000.00 1.0453
3300 299.60 -225.96 -20950.48 3350.00 54000.00 1.0453
3400 299.60 -225.89 -20950.45 3350.00 54000.00 1.0453
3500 299.60 -225.82 -20950.41 3350.00 54000.00 1.0453
3600 299.60 -225.77 -20950.38 3350.00 54000.00 1.0453
3700 299.60 -225.71 -20950.35 3350.00 54000.00 1.0453
3800 299.60 -225.65 -20950.33 3350.00 54000.00 1.0453
3900 299.60 -225.60 -20950.30 3350.00 54000.00 1.0453
4000 299.60 -225.56 -20950.28 3350.00 54000.00 1.0453
4100 299.60 -225.51 -20950.26 3350.00 54000.00 1.0453
4200 299.60 -225.47 -20950.24 3350.00 54000.00 1.0453
4300 299.60 -225.43 -20950.23 3350.00 54000.00 1.0453
4400 299.60 -225.39 -20950.21 3350.00 54000.00 1.0453
4500 299.60 -225.36 -20950.20 3350.00 54000.00 1.0453
4600 299.60 -225.32 -20950.18 3350.00 54000.00 1.0453
4700 299.60 -225.29 -20950.16 3350.00 54000.00 1.0453
4800 299.60 -225.27 -20950.15 3350.00 54000.00 1.0453
4900 299.60 -225.24 -20950.14 3350.00 54000.00 1.0453
5000 299.60 -225.22 -20950.13 3350.00 54000.00 1.0453
5100 299.60 -225.20 -20950.12 3350.00 54000.00 1.0453
5200 299.60 -225.17 -20950.11 3350.00 54000.00 1.0453
5300 299.60 -225.15 -20950.10 3350.00 54000.00 1.0453
5400 299.60 -225.13 -20950.10 3350.00 54000.00 1.0453
5500 299.60 -225.11 -20950.09 3350.00 54000.00 1.0453
5600 299.60 -225.09 -20950.08 3350.00 54000.00 1.0453
5700 299.60 -225.06 -20950.07 3350.00 54000.00 1.0453
5800 299.60 -225.05 -20950.06 3350.00 54000.00 1.0453
5900 299.60 -225.03 -20950.06 3350.00 54000.00 1.0453
6000 299.60 -225.01 -20950.05 3350.00 54000.00 1.0453
6100 299.60 -225.00 -20950.04 3350.00 54000.00 1.0453
6200 299.60 -224.99 -20950.04 3350.00 54000.00 1.0453
6300 299.60 -224.98 -20950.03 3350.00 54000.00 1.0453
6400 299.60 -224.97 -20950.04 3350.00 54000.00 1.0453
6500 299.60 -224.96 -20950.02 3350.00 54000.00 1.0453
6600 299.60 -224.94 -20950.02 3350.00 54000.00 1.0453
6700 299.60 -224.93 -20950.01 3350.00 54000.00 1.0453
6800 299.60 -224.92 -20950.01 3350.00 54000.00 1.0453
6900 299.60 -224.91 -20950.00 3350.00 54000.00 1.0453
7000 299.60 -224.90 -20950.00 3350.00 54000.00 1.0453
7100 299.60 -224.89 -20949.99 3350.00 54000.00 1.0453
7200 299.60 -224.88 -20949.98 3350.00 54000.00 1.0453
7300 299.60 -224.87 -20949.98 3350.00 54000.00 1.0453
7400 299.60 -224.87 -20949.98 3350.00 54000.00 1.0453
7500 299.60 -224.86 -20949.98 3350.00 54000.00 1.0453
7600 299.60 -224.85 -20949.97 3350.00 54000.00 1.0453
7700 299.60 -224.85 -20949.97 3350.00 54000.00 1.0453
7800 299.60 -224.85 -20949.97 3350.00 54000.00 1.0453
7900 299.60 -224.84 -20949.96 3350.00 54000.00 1.0453
8000 299.60 -224.83 -20949.96 3350.00 54000.00 1.0453
8100 299.60 -224.82 -20949.96 3350.00 54000.00 1.0453
8200 299.60 -224.82 -20949.96 3350.00 54000.00 1.0453
8300 299.60 -224.81 -20949.95 3350.00 54000.00 1.0453
8400 299.60 -224.80 -20949.95 3350.00 54000.00 1.0453
8500 299.60 -224.80 -20949.95 3350.00 54000.00 1.0453
8600 299.60 -224.79 -20949.95 3350.00 54000.00 1.0453
8700 299.60 -224.78 -20949.95 3350.00 54000.00 1.0453
8800 299.60 -224.78 -20949.94 3350.00 54000.00 1.0453
8900 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
9000 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
9100 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
9200 299.60 -224.77 -20949.94 3350.00 54000.00 1.0453
9300 299.60 -224.77 -20949.94 3350.00 54000.00 1.0453
9400 299.60 -224.77 -20949.94 3350.00 54000.00 1.0453
9500 299.60 -224.77 -20949.94 3350.00 54000.00 1.0453
9600 299.60 -224.77 -20949.94 3350.00 54000.00 1.0453
9700 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
9800 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
9900 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
10000 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
10100 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
10200 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
10300 299.60 -224.77 -20949.93 3350.00 54000.00 1.0453
10400 299.60 -224.76 -20949.93 3350.00 54000.00 1.0453
10500 299.60 -224.76 -20949.93 3350.00 54000.00 1.0453
10600 299.60 -224.76 -20949.92 3350.00 54000.00 1.0453
10700 299.60 -224.76 -20949.92 3350.00 54000.00 1.0453
10800 299.60 -224.76 -20949.92 3350.00 54000.00 1.0453
10900 299.60 -224.76 -20949.92 3350.00 54000.00 1.0453
11000 299.60 -224.75 -20949.91 3350.00 54000.00 1.0453
11100 299.60 -224.75 -20949.91 3350.00 54000.00 1.0453
11200 299.60 -224.75 -20949.91 3350.00 54000.00 1.0453
11300 299.60 -224.75 -20949.91 3350.00 54000.00 1.0453
11400 299.60 -224.75 -20949.91 3350.00 54000.00 1.0453
11500 299.60 -224.75 -20949.91 3350.00 54000.00 1.0453
11600 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
11700 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
11800 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
11900 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
12000 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
12100 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
12200 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
12300 299.60 -224.74 -20949.91 3350.00 54000.00 1.0453
12400 299.60 -224.73 -20949.91 3350.00 54000.00 1.0453
12500 299.60 -224.73 -20949.90 3350.00 54000.00 1.0453
12600 299.60 -224.73 -20949.90 3350.00 54000.00 1.0453
12700 299.60 -224.73 -20949.90 3350.00 54000.00 1.0453
12800 299.60 -224.73 -20949.90 3350.00 54000.00 1.0453
12900 299.60 -224.73 -20949.90 3350.00 54000.00 1.0453
13000 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13100 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13200 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13300 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13400 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13500 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13600 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13700 299.60 -224.72 -20949.90 3350.00 54000.00 1.0453
13800 299.60 -224.72 -20949.91 3350.00 54000.00 1.0453
13900 299.60 -224.72 -20949.91 3350.00 54000.00 1.0453
14000 299.60 -224.72 -20949.91 3350.00 54000.00 1.0453
