# Radial distribution function: CC
# Row Dist g(r)
1 0.000000 0.000018
2 0.050251 0.000787
3 0.100503 0.003235
4 0.150754 0.000034
5 0.201005 0.000001
6 0.251256 0.001258
7 0.301508 0.000017
8 0.351759 0.002380
9 0.402010 0.001571
10 0.452261 0.002451
11 0.502513 0.000438
12 0.552764 0.000110
13 0.603015 0.001660
14 0.653266 0.000391
15 0.703518 0.001954
16 0.753769 0.002891
17 0.804020 0.003106
18 0.854271 0.002245
19 0.904523 0.000356
20 0.954774 0.001315
21 1.005025 0.000789
22 1.055276 0.003558
23 1.105528 0.002536
24 1.155779 0.000283
25 1.206030 0.003302
26 1.256281 0.005292
27 1.306533 0.001580
28 1.356784 0.003504
29 1.407035 0.000073
30 1.457286 0.002982
31 1.507538 0.002423
32 1.557789 0.001066
33 1.608040 0.000622
34 1.658291 0.001045
35 1.708543 0.004485
36 1.758794 0.003320
37 1.809045 0.006011
38 1.859296 0.000984
39 1.909548 0.000278
40 1.959799 0.001600
41 2.010050 0.002965
42 2.060302 0.000344
43 2.110553 0.000278
44 2.160804 0.002769
45 2.211055 0.001997
46 2.261307 0.001478
47 2.311558 0.157471
48 2.361809 0.878350
49 2.412060 0.766312
50 2.462312 2.943189
51 2.512563 5.495960
52 2.562814 8.085215
53 2.613065 8.780468
54 2.663317 11.434899
55 2.713568 13.791303
56 2.763819 15.669335
57 2.814070 15.650129
58 2.864322 17.609386
59 2.914573 18.925770
60 2.964824 20.312466
61 3.015075 19.906979
62 3.065327 19.872923
63 3.115578 20.342155
64 3.165829 20.806044
65 3.216080 19.880419
66 3.266332 20.182735
67 3.316583 20.027773
68 3.366834 20.799719
69 3.417085 20.679504
70 3.467337 20.173107
71 3.517588 20.448811
72 3.567839 20.366392
73 3.618090 21.038599
74 3.668342 20.540924
75 3.718593 20.429251
76 3.768844 20.501261
77 3.819095 20.421694
78 3.869347 20.059301
79 3.919598 20.177561
80 3.969849 19.522383
81 4.020101 19.163914
82 4.070352 19.122442
83 4.120603 18.423595
84 4.170854 18.944302
85 4.221106 17.881409
86 4.271357 17.905748
87 4.321608 17.579685
88 4.371859 17.893858
89 4.422111 17.236164
90 4.472362 16.311283
91 4.522613 15.959800
92 4.572864 15.550147
93 4.623116 15.149106
94 4.673367 14.615602
95 4.723618 13.664123
96 4.773869 12.519582
97 4.824121 12.645013
98 4.874372 11.468529
99 4.924623 10.609199
100 4.974874 9.549167
101 5.025126 9.690627
102 5.075377 9.017888
103 5.125628 8.173152
104 5.175879 6.692944
105 5.226131 6.763931
106 5.276382 5.833505
107 5.326633 4.797230
108 5.376884 3.507125
109 5.427136 3.591886
110 5.477387 3.333843
111 5.527638 1.922389
112 5.577889 1.950275
113 5.628141 0.974982
114 5.678392 0.647667
115 5.728643 0.539026
116 5.778894 0.195238
117 5.829146 0.070642
118 5.879397 0.207748
119 5.929648 0.116559
120 5.979899 0.051919
121 6.030151 0.094844
122 6.080402 0.069700
123 6.130653 0.118654
124 6.180905 0.079488
125 6.231156 0.094285
126 6.281407 0.157002
127 6.331658 0.106577
128 6.381910 0.113980
129 6.432161 0.111261
130 6.482412 0.070880
131 6.532663 0.094838
132 6.582915 0.287653
133 6.633166 0.155649
134 6.683417 0.060677
135 6.733668 0.109933
136 6.783920 0.204461
137 6.834171 0.061980
138 6.884422 0.084992
139 6.934673 0.034732
140 6.984925 0.253969
141 7.035176 0.096811
142 7.085427 0.091123
143 7.135678 0.246298
144 7.185930 0.135107
145 7.236181 0.102876
146 7.286432 0.063816
147 7.336683 0.207150
148 7.386935 0.192694
149 7.437186 0.032269
150 7.487437 0.079800
151 7.537688 0.079703
152 7.587940 0.032537
153 7.638191 0.139746
154 7.688442 0.126938
155 7.738693 0.209610
156 7.788945 0.100822
157 7.839196 0.096495
158 7.889447 0.165367
159 7.939698 0.093317
160 7.989950 0.197074
161 8.040201 0.088516
162 8.090452 0.154470
163 8.140704 0.168814
164 8.190955 0.213230
165 8.241206 0.199024
166 8.291457 0.190845
167 8.341709 0.068844
168 8.391960 0.093751
169 8.442211 0.166867
170 8.492462 0.104832
171 8.542714 0.081735
172 8.592965 0.157601
173 8.643216 0.095256
174 8.693467 0.036356
175 8.743719 0.129307
176 8.793970 0.150982
177 8.844221 0.200988
178 8.894472 0.136739
179 8.944724 0.183712
180 8.994975 0.116643
181 9.045226 0.188049
182 9.095477 0.477491
183 9.145729 0.420248
184 9.195980 0.382451
185 9.246231 0.210308
186 9.296482 0.723593
187 9.346734 0.219638
188 9.396985 0.377164
189 9.447236 0.349451
190 9.497487 0.271536
191 9.547739 0.147626
192 9.597990 0.204486
193 9.648241 0.121930
194 9.698492 0.208099
195 9.748744 0.232819
196 9.798995 0.183810
197 9.849246 0.298326
198 9.899497 0.291195
199 9.949749 0.233442
200 10.000000 0.409716
