# Radial distribution function: OO
# Row Dist g(r)
1 0.000000 0.004102
2 0.050251 0.001218
3 0.100503 0.002926
4 0.150754 0.004124
5 0.201005 0.000191
6 0.251256 0.001295
7 0.301508 0.001560
8 0.351759 0.003194
9 0.402010 0.000886
10 0.452261 0.001776
11 0.502513 0.000095
12 0.552764 0.000762
13 0.603015 0.000716
14 0.653266 0.001982
15 0.703518 0.004166
16 0.753769 0.000706
17 0.804020 0.002653
18 0.854271 0.003475
19 0.904523 0.003071
20 0.954774 0.003867
21 1.005025 0.000177
22 1.055276 0.000370
23 1.105528 0.000994
24 1.155779 0.004533
25 1.206030 0.001836
26 1.256281 0.001302
27 1.306533 0.002187
28 1.356784 0.001974
29 1.407035 0.000208
30 1.457286 0.004655
31 1.507538 0.001705
32 1.557789 0.007047
33 1.608040 0.002471
34 1.658291 0.006163
35 1.708543 0.001077
36 1.758794 0.000052
37 1.809045 0.001610
38 1.859296 0.004775
39 1.909548 0.000162
40 1.959799 0.002929
41 2.010050 0.003686
42 2.060302 0.000055
43 2.110553 0.248440
44 2.160804 2.420917
45 2.211055 2.352177
46 2.261307 4.216037
47 2.311558 4.546664
48 2.361809 2.111260
49 2.412060 2.832621
50 2.462312 1.424437
51 2.512563 1.093672
52 2.562814 0.407823
53 2.613065 0.759052
54 2.663317 0.289750
55 2.713568 0.636734
56 2.763819 0.330917
57 2.814070 0.480393
58 2.864322 0.602737
59 2.914573 0.385342
60 2.964824 0.838279
61 3.015075 0.736262
62 3.065327 0.584170
63 3.115578 0.598348
64 3.165829 0.762366
65 3.216080 1.086571
66 3.266332 0.790600
67 3.316583 1.239388
68 3.366834 1.257757
69 3.417085 1.006834
70 3.467337 1.275353
71 3.517588 0.874673
72 3.567839 0.826777
73 3.618090 1.389571
74 3.668342 1.082233
75 3.718593 1.326527
76 3.768844 1.084685
77 3.819095 0.786715
78 3.869347 0.576672
79 3.919598 0.911962
80 3.969849 0.809312
81 4.020101 0.802174
82 4.070352 0.866417
83 4.120603 1.008161
84 4.170854 0.691715
85 4.221106 0.942096
86 4.271357 0.524967
87 4.321608 0.663668
88 4.371859 0.597374
89 4.422111 0.448150
90 4.472362 0.556893
91 4.522613 0.835274
92 4.572864 0.506559
93 4.623116 0.693164
94 4.673367 0.392171
95 4.723618 0.486439
96 4.773869 0.696595
97 4.824121 0.691174
98 4.874372 1.137652
99 4.924623 0.936206
100 4.974874 0.583164
101 5.025126 0.875871
102 5.075377 0.791735
103 5.125628 1.101195
104 5.175879 0.794366
105 5.226131 1.267323
106 5.276382 1.518811
107 5.326633 1.048655
108 5.376884 1.016474
109 5.427136 0.870799
110 5.477387 1.350457
111 5.527638 1.132990
112 5.577889 1.096709
113 5.628141 1.322055
114 5.678392 0.995736
115 5.728643 0.661892
116 5.778894 0.864434
117 5.829146 0.972795
118 5.879397 0.905600
119 5.929648 0.834919
120 5.979899 0.876826
121 6.030151 0.777232
122 6.080402 0.838077
123 6.130653 0.370956
124 6.180905 1.340276
125 6.231156 0.995869
126 6.281407 0.865394
127 6.331658 0.687863
128 6.381910 0.953981
129 6.432161 0.671138
130 6.482412 0.756222
131 6.532663 0.651126
132 6.582915 0.662327
133 6.633166 0.676294
134 6.683417 0.779066
135 6.733668 0.699794
136 6.783920 0.734868
137 6.834171 1.143572
138 6.884422 0.512597
139 6.934673 0.928661
140 6.984925 0.734507
141 7.035176 0.851187
142 7.085427 0.674882
143 7.135678 0.675316
144 7.185930 0.878281
145 7.236181 0.893101
146 7.286432 0.631385
147 7.336683 0.600291
148 7.386935 0.831664
149 7.437186 1.236877
150 7.487437 0.932943
151 7.537688 0.629718
152 7.587940 1.129823
153 7.638191 0.822080
154 7.688442 0.844064
155 7.738693 0.549707
156 7.788945 1.077194
157 7.839196 0.519416
158 7.889447 0.742375
159 7.939698 1.507734
160 7.989950 0.580294
161 8.040201 0.822429
162 8.090452 0.914130
163 8.140704 1.032782
164 8.190955 0.666035
165 8.241206 1.002289
166 8.291457 0.936482
167 8.341709 0.732285
168 8.391960 0.873425
169 8.442211 1.123208
170 8.492462 1.005351
171 8.542714 0.766633
172 8.592965 0.682077
173 8.643216 0.840477
174 8.693467 0.751376
175 8.743719 0.984299
176 8.793970 0.427414
177 8.844221 1.017769
178 8.894472 0.456839
179 8.944724 1.031582
180 8.994975 0.590951
181 9.045226 0.690495
182 9.095477 1.267416
183 9.145729 0.717860
184 9.195980 1.308724
185 9.246231 0.662094
186 9.296482 0.503250
187 9.346734 0.911549
188 9.396985 1.104818
189 9.447236 0.848220
190 9.497487 0.791715
191 9.547739 1.038511
192 9.597990 1.030952
193 9.648241 1.179892
194 9.698492 0.913793
195 9.748744 0.598307
196 9.798995 0.827928
197 9.849246 0.691288
198 9.899497 0.757165
199 9.949749 0.663415
200 10.000000 0.931915
