# Radial distribution function: CO
# Row Dist g(r)
1 0.000000 0.016457
2 0.050251 0.133414
3 0.100503 0.025559
4 0.150754 0.024591
5 0.201005 0.005036
6 0.251256 0.002126
7 0.301508 0.047976
8 0.351759 0.023667
9 0.402010 0.035098
10 0.452261 0.035164
11 0.502513 0.024056
12 0.552764 0.022501
13 0.603015 0.047911
14 0.653266 0.007061
15 0.703518 0.033643
16 0.753769 0.036795
17 0.804020 0.041690
18 0.854271 0.031373
19 0.904523 0.020012
20 0.954774 0.026018
21 1.005025 0.002286
22 1.055276 0.016462
23 1.105528 0.031788
24 1.155779 0.029102
25 1.206030 0.034787
26 1.256281 0.029089
27 1.306533 0.028593
28 1.356784 0.019235
29 1.407035 0.031162
30 1.457286 0.042340
31 1.507538 0.018181
32 1.557789 0.037327
33 1.608040 0.023996
34 1.658291 0.022893
35 1.708543 0.025003
36 1.758794 0.034385
37 1.809045 0.041212
38 1.859296 0.024542
39 1.909548 0.035937
40 1.959799 0.029886
41 2.010050 0.030863
42 2.060302 0.035761
43 2.110553 0.025401
44 2.160804 0.040063
45 2.211055 0.044001
46 2.261307 0.003608
47 2.311558 0.026460
48 2.361809 0.056225
49 2.412060 0.045581
50 2.462312 0.053615
51 2.512563 0.168985
52 2.562814 0.277143
53 2.613065 0.217985
54 2.663317 0.393363
55 2.713568 0.403878
56 2.763819 0.498180
57 2.814070 0.585142
58 2.864322 0.677613
59 2.914573 0.670079
60 2.964824 0.523145
61 3.015075 0.531825
62 3.065327 0.551042
63 3.115578 0.569062
64 3.165829 0.552375
65 3.216080 0.426836
66 3.266332 0.527159
67 3.316583 0.535207
68 3.366834 0.669583
69 3.417085 0.523054
70 3.467337 0.520152
71 3.517588 0.586694
72 3.567839 0.577495
73 3.618090 0.484427
74 3.668342 0.575913
75 3.718593 0.601274
76 3.768844 0.554035
77 3.819095 0.553748
78 3.869347 0.675308
79 3.919598 0.602872
80 3.969849 0.617405
81 4.020101 0.548712
82 4.070352 0.586665
83 4.120603 0.479999
84 4.170854 0.625429
85 4.221106 0.607137
86 4.271357 0.533423
87 4.321608 0.524565
88 4.371859 0.614380
89 4.422111 0.532591
90 4.472362 0.517036
91 4.522613 0.525930
92 4.572864 0.522264
93 4.623116 0.560846
94 4.673367 0.667603
95 4.723618 0.722855
96 4.773869 0.593180
97 4.824121 0.629450
98 4.874372 0.477035
99 4.924623 0.699232
100 4.974874 0.663731
101 5.025126 0.593287
102 5.075377 0.667530
103 5.125628 0.748325
104 5.175879 0.796593
105 5.226131 0.786526
106 5.276382 0.677810
107 5.326633 0.755494
108 5.376884 0.748954
109 5.427136 0.725633
110 5.477387 0.717359
111 5.527638 0.749322
112 5.577889 0.758600
113 5.628141 0.740051
114 5.678392 0.735110
115 5.728643 0.786562
116 5.778894 0.770379
117 5.829146 0.817840
118 5.879397 0.710242
119 5.929648 0.632704
120 5.979899 0.799720
121 6.030151 0.836532
122 6.080402 0.737748
123 6.130653 0.840546
124 6.180905 0.817939
125 6.231156 0.813880
126 6.281407 0.889235
127 6.331658 0.761552
128 6.381910 0.824950
129 6.432161 0.821457
130 6.482412 0.953742
131 6.532663 0.757524
132 6.582915 0.801287
133 6.633166 0.809458
134 6.683417 0.988641
135 6.733668 0.973387
136 6.783920 0.897098
137 6.834171 0.889957
138 6.884422 0.949904
139 6.934673 0.908454
140 6.984925 0.951090
141 7.035176 0.954982
142 7.085427 0.702767
143 7.135678 0.903876
144 7.185930 0.833645
145 7.236181 0.969533
146 7.286432 0.906714
147 7.336683 1.215113
148 7.386935 0.987065
149 7.437186 0.906097
150 7.487437 0.809904
151 7.537688 0.930104
152 7.587940 0.804666
153 7.638191 0.947258
154 7.688442 0.695098
155 7.738693 0.806893
156 7.788945 0.902980
157 7.839196 0.781654
158 7.889447 0.856773
159 7.939698 0.837978
160 7.989950 0.764665
161 8.040201 0.769976
162 8.090452 0.868686
163 8.140704 0.822587
164 8.190955 0.770003
165 8.241206 0.742357
166 8.291457 0.807736
167 8.341709 0.631373
168 8.391960 0.724574
169 8.442211 0.763041
170 8.492462 0.765326
171 8.542714 0.716924
172 8.592965 0.748929
173 8.643216 0.814607
174 8.693467 0.787220
175 8.743719 0.838351
176 8.793970 0.811361
177 8.844221 0.750097
178 8.894472 0.814795
179 8.944724 0.758942
180 8.994975 0.813296
181 9.045226 0.778631
182 9.095477 0.741654
183 9.145729 0.783073
184 9.195980 0.848377
185 9.246231 0.761488
186 9.296482 0.798975
187 9.346734 0.778989
188 9.396985 0.844906
189 9.447236 0.843822
190 9.497487 0.996636
191 9.547739 0.682375
192 9.597990 0.843554
193 9.648241 0.847906
194 9.698492 0.868641
195 9.748744 0.751137
196 9.798995 0.745483
197 9.849246 0.907324
198 9.899497 0.880381
199 9.949749 0.714324
200 10.000000 0.843450
