# Radial distribution function: CC
# Row Dist g(r)
1 0.000000 0.004904
2 0.050251 0.010636
3 0.100503 0.003908
4 0.150754 0.003260
5 0.201005 0.000790
6 0.251256 0.008456
7 0.301508 0.005377
8 0.351759 0.001955
9 0.402010 0.008614
10 0.452261 0.003806
11 0.502513 0.010435
12 0.552764 0.004859
13 0.603015 0.008588
14 0.653266 0.005853
15 0.703518 0.003834
16 0.753769 0.018976
17 0.804020 0.007471
18 0.854271 0.004974
19 0.904523 0.001187
20 0.954774 0.000645
21 1.005025 0.013371
22 1.055276 0.006297
23 1.105528 0.010207
24 1.155779 0.013124
25 1.206030 0.007156
26 1.256281 0.009902
27 1.306533 0.000461
28 1.356784 0.002486
29 1.407035 0.002932
30 1.457286 0.009608
31 1.507538 0.001383
32 1.557789 0.001067
33 1.608040 0.012104
34 1.658291 0.001994
35 1.708543 0.001905
36 1.758794 0.007304
37 1.809045 0.014256
38 1.859296 0.001229
39 1.909548 0.006692
40 1.959799 0.005136
41 2.010050 0.006764
42 2.060302 0.003251
43 2.110553 0.002041
44 2.160804 0.005210
45 2.211055 0.003237
46 2.261307 0.002381
47 2.311558 0.194564
48 2.361809 0.711601
49 2.412060 0.974932
50 2.462312 2.420815
51 2.512563 4.658156
52 2.562814 6.412673
53 2.613065 7.042657
54 2.663317 9.468334
55 2.713568 11.245134
56 2.763819 12.825131
57 2.814070 12.975458
58 2.864322 14.942168
59 2.914573 15.296697
60 2.964824 16.798704
61 3.015075 16.205370
62 3.065327 15.958776
63 3.115578 17.236958
64 3.165829 17.232170
65 3.216080 16.640566
66 3.266332 16.783520
67 3.316583 16.516554
68 3.366834 17.145403
69 3.417085 16.981861
70 3.467337 17.044617
71 3.517588 16.898882
72 3.567839 16.962713
73 3.618090 17.352711
74 3.668342 16.959929
75 3.718593 16.486311
76 3.768844 16.793848
77 3.819095 17.042896
78 3.869347 16.692890
79 3.919598 16.817146
80 3.969849 16.376566
81 4.020101 16.096323
82 4.070352 15.679443
83 4.120603 15.552616
84 4.170854 15.355108
85 4.221106 15.319921
86 4.271357 14.801158
87 4.321608 14.657281
88 4.371859 13.865572
89 4.422111 14.384027
90 4.472362 13.480207
91 4.522613 13.248638
92 4.572864 12.690269
93 4.623116 12.918080
94 4.673367 12.204269
95 4.723618 11.228325
96 4.773869 10.207563
97 4.824121 10.237113
98 4.874372 9.917078
99 4.924623 9.027217
100 4.974874 8.097769
101 5.025126 8.040408
102 5.075377 7.658806
103 5.125628 6.586735
104 5.175879 5.551532
105 5.226131 5.713385
106 5.276382 4.830561
107 5.326633 3.760855
108 5.376884 3.409551
109 5.427136 3.307062
110 5.477387 2.664537
111 5.527638 1.957489
112 5.577889 1.548687
113 5.628141 1.902030
114 5.678392 0.903830
115 5.728643 0.526757
116 5.778894 0.472450
117 5.829146 0.330953
118 5.879397 0.161810
119 5.929648 0.478869
120 5.979899 0.179688
121 6.030151 0.402612
122 6.080402 0.209451
123 6.130653 0.114465
124 6.180905 0.175332
125 6.231156 0.355742
126 6.281407 0.315546
127 6.331658 0.139153
128 6.381910 0.231205
129 6.432161 0.110827
130 6.482412 0.225294
131 6.532663 0.154710
132 6.582915 0.199861
133 6.633166 0.364191
134 6.683417 0.313885
135 6.733668 0.204588
136 6.783920 0.372852
137 6.834171 0.123112
138 6.884422 0.126520
139 6.934673 0.253529
140 6.984925 0.328790
141 7.035176 0.282960
142 7.085427 0.254768
143 7.135678 0.206993
144 7.185930 0.238837
145 7.236181 0.369136
146 7.286432 0.362051
147 7.336683 0.279321
148 7.386935 0.295514
149 7.437186 0.364959
150 7.487437 0.466011
151 7.537688 0.302046
152 7.587940 0.213928
153 7.638191 0.180384
154 7.688442 0.166508
155 7.738693 0.211072
156 7.788945 0.225378
157 7.839196 0.129802
158 7.889447 0.401448
159 7.939698 0.383115
160 7.989950 0.141954
161 8.040201 0.166351
162 8.090452 0.325504
163 8.140704 0.360954
164 8.190955 0.339039
165 8.241206 0.276464
166 8.291457 0.324680
167 8.341709 0.181670
168 8.391960 0.141880
169 8.442211 0.096238
170 8.492462 0.348859
171 8.542714 0.237604
172 8.592965 0.281855
173 8.643216 0.282722
174 8.693467 0.569180
175 8.743719 0.391973
176 8.793970 0.382933
177 8.844221 0.442037
178 8.894472 0.168254
179 8.944724 0.318056
180 8.994975 0.249789
181 9.045226 0.258284
182 9.095477 0.817177
183 9.145729 0.650724
184 9.195980 0.549336
185 9.246231 0.298269
186 9.296482 0.388853
187 9.346734 0.449794
188 9.396985 0.685527
189 9.447236 0.309294
190 9.497487 0.343854
191 9.547739 0.421923
192 9.597990 0.352993
193 9.648241 0.522965
194 9.698492 0.379686
195 9.748744 0.299484
196 9.798995 0.201557
197 9.849246 0.449888
198 9.899497 0.313716
199 9.949749 0.466671
200 10.000000 0.387617
