# TimeStep Temp Press PotEng KinEng Volume Density
0 297.02 -49.26 -21156.12 3350.00 54000.00 1.0454
100 298.12 -160.06 -21066.20 3350.00 54000.00 1.0470
200 298.72 -168.28 -21041.08 3350.00 54000.00 1.0473
300 299.14 -163.48 -21015.00 3350.00 54000.00 1.0476
400 299.42 -153.80 -20991.49 3350.00 54000.00 1.0477
500 299.61 -143.31 -20971.89 3350.00 54000.00 1.0477
600 299.73 -133.70 -20956.38 3350.00 54000.00 1.0477
700 299.82 -125.58 -20944.50 3350.00 54000.00 1.0477
800 299.87 -119.02 -20935.63 3350.00 54000.00 1.0477
900 299.91 -113.86 -20929.12 3350.00 54000.00 1.0477
1000 299.94 -109.89 -20924.43 3350.00 54000.00 1.0476
1100 299.96 -106.86 -20921.09 3350.00 54000.00 1.0476
1200 299.97 -104.55 -20918.73 3350.00 54000.00 1.0476
1300 299.98 -102.80 -20917.08 3350.00 54000.00 1.0476
1400 299.99 -101.48 -20915.94 3350.00 54000.00 1.0476
1500 299.99 -100.46 -20915.16 3350.00 54000.00 1.0476
1600 300.00 -99.69 -20914.63 3350.00 54000.00 1.0476
1700 300.00 -99.09 -20914.28 3350.00 54000.00 1.0476
1800 300.00 -98.62 -20914.05 3350.00 54000.00 1.0476
1900 300.01 -98.25 -20913.89 3350.00 54000.00 1.0477
2000 300.01 -97.96 -20913.80 3350.00 54000.00 1.0477
2100 300.01 -97.73 -20913.75 3350.00 54000.00 1.0477
2200 300.01 -97.53 -20913.74 3350.00 54000.00 1.0477
2300 300.01 -97.37 -20913.74 3350.00 54000.00 1.0477
2400 300.01 -97.24 -20913.75 3350.00 54000.00 1.0477
2500 300.01 -97.12 -20913.77 3350.00 54000.00 1.0477
2600 300.01 -97.02 -20913.79 3350.00 54000.00 1.0477
2700 300.01 -96.94 -20913.81 3350.00 54000.00 1.0477
2800 300.01 -96.86 -20913.85 3350.00 54000.00 1.0477
2900 300.01 -96.79 -20913.88 3350.00 54000.00 1.0477
3000 300.01 -96.73 -20913.91 3350.00 54000.00 1.0477
3100 300.01 -96.67 -20913.94 3350.00 54000.00 1.0477
3200 300.01 -96.62 -20913.97 3350.00 54000.00 1.0477
3300 300.01 -96.57 -20914.00 3350.00 54000.00 1.0477
3400 300.01 -96.53 -20914.03 3350.00 54000.00 1.0477
3500 300.01 -96.48 -20914.05 3350.00 54000.00 1.0477
3600 300.01 -96.44 -20914.08 3350.00 54000.00 1.0477
3700 300.01 -96.41 -20914.11 3350.00 54000.00 1.0477
3800 300.01 -96.37 -20914.13 3350.00 54000.00 1.0477
3900 300.01 -96.34 -20914.15 3350.00 54000.00 1.0477
4000 300.01 -96.30 -20914.17 3350.00 54000.00 1.0477
4100 300.01 -96.28 -20914.20 3350.00 54000.00 1.0477
4200 300.01 -96.25 -20914.22 3350.00 54000.00 1.0477
4300 300.01 -96.21 -20914.24 3350.00 54000.00 1.0477
4400 300.01 -96.18 -20914.26 3350.00 54000.00 1.0477
4500 300.01 -96.16 -20914.28 3350.00 54000.00 1.0477
4600 300.01 -96.13 -20914.29 3350.00 54000.00 1.0477
4700 300.01 -96.11 -20914.31 3350.00 54000.00 1.0477
4800 300.01 -96.09 -20914.33 3350.00 54000.00 1.0477
4900 300.01 -96.06 -20914.34 3350.00 54000.00 1.0477
5000 300.01 -96.04 -20914.35 3350.00 54000.00 1.0477
5100 300.01 -96.01 -20914.36 3350.00 54000.00 1.0477
5200 300.01 -95.99 -20914.38 3350.00 54000.00 1.0477
5300 300.01 -95.97 -20914.39 3350.00 54000.00 1.0477
5400 300.01 -95.95 -20914.40 3350.00 54000.00 1.0477
5500 300.01 -95.93 -20914.42 3350.00 54000.00 1.0477
5600 300.01 -95.91 -20914.43 3350.00 54000.00 1.0477
5700 300.01 -95.89 -20914.44 3350.00 54000.00 1.0477
5800 300.01 -95.88 -20914.45 3350.00 54000.00 1.0477
5900 300.01 -95.86 -20914.46 3350.00 54000.00 1.0477
6000 300.01 -95.85 -20914.47 3350.00 54000.00 1.0477
6100 300.01 -95.83 -20914.48 3350.00 54000.00 1.0477
6200 300.01 -95.82 -20914.49 3350.00 54000.00 1.0477
6300 300.01 -95.81 -20914.50 3350.00 54000.00 1.0477
6400 300.01 -95.79 -20914.51 3350.00 54000.00 1.0477
6500 300.01 -95.78 -20914.51 3350.00 54000.00 1.0477
6600 300.01 -95.76 -20914.52 3350.00 54000.00 1.0477
6700 300.01 -95.75 -20914.52 3350.00 54000.00 1.0477
6800 300.01 -95.74 -20914.53 3350.00 54000.00 1.0477
6900 300.01 -95.72 -20914.54 3350.00 54000.00 1.0477
7000 300.01 -95.71 -20914.56 3350.00 54000.00 1.0477
7100 300.01 -95.70 -20914.56 3350.00 54000.00 1.0477
7200 300.01 -95.69 -20914.57 3350.00 54000.00 1.0477
7300 300.01 -95.68 -20914.57 3350.00 54000.00 1.0477
7400 300.01 -95.67 -20914.58 3350.00 54000.00 1.0477
7500 300.01 -95.66 -20914.59 3350.00 54000.00 1.0477
7600 300.01 -95.65 -20914.59 3350.00 54000.00 1.0477
7700 300.01 -95.64 -20914.59 3350.00 54000.00 1.0477
7800 300.01 -95.63 -20914.59 3350.00 54000.00 1.0477
7900 300.01 -95.62 -20914.60 3350.00 54000.00 1.0477
8000 300.01 -95.61 -20914.60 3350.00 54000.00 1.0477
8100 300.01 -95.60 -20914.61 3350.00 54000.00 1.0477
8200 300.01 -95.59 -20914.61 3350.00 54000.00 1.0477
8300 300.01 -95.58 -20914.62 3350.00 54000.00 1.0477
8400 300.01 -95.57 -20914.62 3350.00 54000.00 1.0477
8500 300.01 -95.57 -20914.62 3350.00 54000.00 1.0477
8600 300.01 -95.56 -20914.63 3350.00 54000.00 1.0477
8700 300.01 -95.55 -20914.63 3350.00 54000.00 1.0477
8800 300.01 -95.54 -20914.64 3350.00 54000.00 1.0477
8900 300.01 -95.54 -20914.64 3350.00 54000.00 1.0477
9000 300.01 -95.53 -20914.65 3350.00 54000.00 1.0477
9100 300.01 -95.53 -20914.65 3350.00 54000.00 1.0477
9200 300.01 -95.52 -20914.65 3350.00 54000.00 1.0477
9300 300.01 -95.51 -20914.65 3350.00 54000.00 1.0477
9400 300.01 -95.51 -20914.65 3350.00 54000.00 1.0477
9500 300.01 -95.50 -20914.66 3350.00 54000.00 1.0477
9600 300.01 -95.49 -20914.66 3350.00 54000.00 1.0477
9700 300.01 -95.49 -20914.66 3350.00 54000.00 1.0477
9800 300.01 -95.48 -20914.66 3350.00 54000.00 1.0477
9900 300.01 -95.48 -20914.66 3350.00 54000.00 1.0477
10000 300.01 -95.47 -20914.67 3350.00 54000.00 1.0477
10100 300.01 -95.46 -20914.67 3350.00 54000.00 1.0477
10200 300.01 -95.46 -20914.67 3350.00 54000.00 1.0477
10300 300.01 -95.45 -20914.67 3350.00 54000.00 1.0477
10400 300.01 -95.45 -20914.67 3350.00 54000.00 1.0477
10500 300.01 -95.44 -20914.67 3350.00 54000.00 1.0477
10600 300.01 -95.44 -20914.67 3350.00 54000.00 1.0477
10700 300.01 -95.43 -20914.68 3350.00 54000.00 1.0477
10800 300.01 -95.43 -20914.68 3350.00 54000.00 1.0477
10900 300.01 -95.43 -20914.69 3350.00 54000.00 1.0477
11000 300.01 -95.42 -20914.69 3350.00 54000.00 1.0477
11100 300.01 -95.42 -20914.69 3350.00 54000.00 1.0477
11200 300.01 -95.42 -20914.69 3350.00 54000.00 1.0477
11300 300.01 -95.41 -20914.70 3350.00 54000.00 1.0477
11400 300.01 -95.41 -20914.70 3350.00 54000.00 1.0477
11500 300.01 -95.41 -20914.70 3350.00 54000.00 1.0477
11600 300.01 -95.41 -20914.70 3350.00 54000.00 1.0477
11700 300.01 -95.40 -20914.70 3350.00 54000.00 1.0477
11800 300.01 -95.40 -20914.70 3350.00 54000.00 1.0477
11900 300.01 -95.40 -20914.70 3350.00 54000.00 1.0477
12000 300.01 -95.39 -20914.70 3350.00 54000.00 1.0477
12100 300.01 -95.39 -20914.71 3350.00 54000.00 1.0477
12200 300.01 -95.39 -20914.71 3350.00 54000.00 1.0477
12300 300.01 -95.38 -20914.71 3350.00 54000.00 1.0477
12400 300.01 -95.38 -20914.71 3350.00 54000.00 1.0477
12500 300.01 -95.37 -20914.71 3350.00 54000.00 1.0477
12600 300.01 -95.37 -20914.70 3350.00 54000.00 1.0477
12700 300.01 -95.37 -20914.70 3350.00 54000.00 1.0477
12800 300.01 -95.36 -20914.70 3350.00 54000.00 1.0477
12900 300.01 -95.36 -20914.70 3350.00 54000.00 1.0477
13000 300.01 -95.36 -20914.70 3350.00 54000.00 1.0477
13100 300.01 -95.36 -20914.71 3350.00 54000.00 1.0477
