# Radial distribution function: OO
# Row Dist g(r)
1 0.000000 0.012407
2 0.050251 0.014259
3 0.100503 0.011568
4 0.150754 0.002765
5 0.201005 0.005397
6 0.251256 0.011669
7 0.301508 0.020519
8 0.351759 0.000420
9 0.402010 0.029384
10 0.452261 0.011260
11 0.502513 0.010020
12 0.552764 0.000735
13 0.603015 0.005136
14 0.653266 0.004583
15 0.703518 0.007697
16 0.753769 0.031704
17 0.804020 0.007812
18 0.854271 0.002366
19 0.904523 0.015650
20 0.954774 0.007526
21 1.005025 0.006117
22 1.055276 0.011837
23 1.105528 0.011170
24 1.155779 0.006650
25 1.206030 0.004735
26 1.256281 0.000963
27 1.306533 0.012573
28 1.356784 0.011608
29 1.407035 0.001739
30 1.457286 0.020771
31 1.507538 0.003113
32 1.557789 0.008677
33 1.608040 0.003046
34 1.658291 0.004803
35 1.708543 0.007958
36 1.758794 0.009040
37 1.809045 0.007562
38 1.859296 0.005948
39 1.909548 0.009227
40 1.959799 0.003227
41 2.010050 0.007914
42 2.060302 0.029481
43 2.110553 0.288933
44 2.160804 1.977072
45 2.211055 2.279975
46 2.261307 3.095514
47 2.311558 2.907742
48 2.361809 2.084900
49 2.412060 2.462590
50 2.462312 1.363898
51 2.512563 0.839497
52 2.562814 0.702928
53 2.613065 0.667803
54 2.663317 0.548791
55 2.713568 0.592286
56 2.763819 0.434732
57 2.814070 0.515763
58 2.864322 0.472051
59 2.914573 0.732849
60 2.964824 0.591457
61 3.015075 0.519219
62 3.065327 0.635797
63 3.115578 0.514875
64 3.165829 1.099780
65 3.216080 0.804826
66 3.266332 0.889451
67 3.316583 0.914821
68 3.366834 1.169206
69 3.417085 0.964203
70 3.467337 0.821477
71 3.517588 0.949168
72 3.567839 0.659294
73 3.618090 0.976642
74 3.668342 0.880095
75 3.718593 1.148571
76 3.768844 0.882400
77 3.819095 0.940239
78 3.869347 1.082594
79 3.919598 0.847329
80 3.969849 0.769356
81 4.020101 0.862801
82 4.070352 0.777246
83 4.120603 0.843000
84 4.170854 0.899495
85 4.221106 0.801001
86 4.271357 0.812775
87 4.321608 0.942299
88 4.371859 0.773054
89 4.422111 0.681349
90 4.472362 0.684343
91 4.522613 0.574936
92 4.572864 0.736438
93 4.623116 0.653622
94 4.673367 0.585266
95 4.723618 0.873326
96 4.773869 0.803954
97 4.824121 0.679117
98 4.874372 0.902424
99 4.924623 0.554149
100 4.974874 0.784394
101 5.025126 0.653721
102 5.075377 0.778364
103 5.125628 0.376036
104 5.175879 0.807865
105 5.226131 0.681652
106 5.276382 0.745733
107 5.326633 0.688913
108 5.376884 0.852226
109 5.427136 0.924285
110 5.477387 0.689854
111 5.527638 0.797659
112 5.577889 0.561521
113 5.628141 0.820482
114 5.678392 1.042938
115 5.728643 0.495055
116 5.778894 1.112868
117 5.829146 0.546148
118 5.879397 0.917056
119 5.929648 1.052558
120 5.979899 0.781578
121 6.030151 0.807112
122 6.080402 0.941827
123 6.130653 1.022174
124 6.180905 0.737564
125 6.231156 1.009893
126 6.281407 0.761584
127 6.331658 1.045400
128 6.381910 0.700159
129 6.432161 1.144857
130 6.482412 0.536791
131 6.532663 0.893372
132 6.582915 0.716136
133 6.633166 0.818440
134 6.683417 0.883475
135 6.733668 0.787554
136 6.783920 1.043903
137 6.834171 0.794289
138 6.884422 0.793726
139 6.934673 1.232262
140 6.984925 0.877612
141 7.035176 0.900359
142 7.085427 0.908964
143 7.135678 0.814572
144 7.185930 0.672581
145 7.236181 0.851514
146 7.286432 0.747548
147 7.336683 0.987432
148 7.386935 0.755191
149 7.437186 0.557783
150 7.487437 0.751502
151 7.537688 0.598567
152 7.587940 0.863717
153 7.638191 0.669498
154 7.688442 0.739185
155 7.738693 0.742469
156 7.788945 0.760934
157 7.839196 0.823178
158 7.889447 0.745905
159 7.939698 0.648075
160 7.989950 0.812859
161 8.040201 0.504484
162 8.090452 0.580670
163 8.140704 0.754060
164 8.190955 0.883527
165 8.241206 0.957692
166 8.291457 0.783594
167 8.341709 0.755392
168 8.391960 0.799729
169 8.442211 0.517604
170 8.492462 0.993068
171 8.542714 0.499402
172 8.592965 0.606107
173 8.643216 0.741181
174 8.693467 1.226629
175 8.743719 0.480044
176 8.793970 0.623339
177 8.844221 1.197927
178 8.894472 0.739433
179 8.944724 0.658389
180 8.994975 0.585591
181 9.045226 1.026578
182 9.095477 0.395382
183 9.145729 0.795370
184 9.195980 0.680653
185 9.246231 0.562900
186 9.296482 0.744992
187 9.346734 0.873026
188 9.396985 0.867120
189 9.447236 0.966931
190 9.497487 0.610143
191 9.547739 0.916125
192 9.597990 0.969608
193 9.648241 1.013620
194 9.698492 0.956383
195 9.748744 0.956314
196 9.798995 1.158747
197 9.849246 0.928638
198 9.899497 0.484320
199 9.949749 1.022741
200 10.000000 1.075960
