epsilon,temp_mean,temp_std,press_mean,press_std,density_mean,density_std,pe_mean,pe_std,vol_mean,vol_std,rdf_co_peak1_position,rdf_co_peak1_height,rdf_co_first_minimum,rdf_co_peak2_position,rdf_co_peak2_height,rdf_co_coordination_number,rdf_oo_peak1_position,rdf_oo_peak1_height,rdf_oo_first_minimum,rdf_oo_peak2_position,rdf_oo_peak2_height,rdf_oo_coordination_number
0.000000,300.009425,2.391496,0.847776,223.937285,1.058493,0.006226,-20343.464965,61.370044,53896.946110,317.109179,0.369276,1.544260,0.533399,0.779583,1.227470,-1.590550,2.749050,3.139050,3.323480,4.472340,1.157500,-247.448280
0.050000,300.018197,2.386393,1.445054,213.454443,1.023010,0.005926,-20240.709410,62.511323,55766.261880,323.101974,12.186100,0.992137,0.041031,12.022000,0.974509,0.000000,2.749050,3.136200,3.323480,4.390280,1.157840,-259.222636
0.100000,300.003408,2.390570,1.089317,215.575294,1.027876,0.005845,-20315.305295,63.239408,55502.195820,315.645449,9.067780,1.041420,0.041031,9.396020,1.035050,0.000000,2.749050,3.090620,3.323480,4.472340,1.142910,-258.996406
0.150000,300.015840,2.392470,1.313810,218.995663,1.031353,0.005787,-20396.676275,63.104321,55315.069415,310.482672,8.821590,1.049380,0.041031,8.739530,1.054700,0.000000,2.749050,3.110330,3.405550,4.472340,1.149170,-298.574967
0.200000,299.980890,2.386041,1.654551,220.526438,1.034678,0.005770,-20486.425825,62.011490,55137.259175,307.514251,8.821590,1.110010,0.041031,9.067780,1.109350,0.000000,2.749050,3.142700,3.323480,4.554400,1.141920,-264.034212
0.250000,300.011492,2.391044,1.224318,222.024951,1.037328,0.005846,-20578.274395,62.302857,54996.466910,309.921651,4.882650,0.760094,5.210890,9.067780,1.109960,-1944.793584,2.749050,3.193580,3.323480,4.554400,1.138080,-268.096486
0.300000,300.016381,2.389363,0.590555,222.086265,1.039794,0.005777,-20672.685645,61.446290,54865.953475,304.831221,9.067780,1.117120,0.041031,8.739530,1.128270,0.000000,2.749050,3.159640,3.323480,4.390280,1.142630,-269.620890
0.350000,299.983764,2.377425,1.524427,224.108298,1.042189,0.005872,-20763.296625,60.898935,54739.945040,308.436877,9.067780,1.133460,0.041031,8.739530,1.130680,0.000000,2.749050,3.136560,3.323480,4.390280,1.155570,-279.546046
0.400000,300.016135,2.401102,1.198726,224.265764,1.043966,0.005764,-20860.473370,62.560417,54646.683735,301.736711,8.821590,1.135230,0.041031,9.067780,1.129850,0.000000,2.749050,3.147880,3.405550,4.554400,1.140740,-318.602725
0.450000,300.022785,2.384638,1.304563,224.874843,1.046299,0.005745,-20957.729880,62.373393,54524.805375,299.430308,3.487610,0.798167,4.062040,9.067780,1.137310,-1193.143508,2.749050,3.141060,3.405550,4.308220,1.126610,-323.318849
0.500000,299.991610,2.386625,1.127671,224.888211,1.048429,0.005667,-21055.565210,61.387711,54413.991680,294.222169,3.569670,0.832450,4.144100,4.800590,0.799861,-1237.603786,2.749050,3.137070,3.323480,4.390280,1.150330,-292.686324
