TIP5P System - No Bonds/Angles (for rigid/small)

496 atoms

5 atom types

-20.0 20.0 xlo xhi
-20.0 20.0 ylo yhi
-20.0 20.0 zlo zhi

Masses

1 28.0855
2 12.0107
3 15.9994
4 1.008
5 0.0001

Atoms  # full

1 1 1 0.0 0.0 0.0 0.0
2 2 3 0.000 -2.773388 5.021746 6.434937
3 2 4 0.241 -2.334143 4.750942 5.626034
4 2 4 0.241 -3.517459 4.421461 6.516255
5 2 5 -0.241 -2.293884 5.524683 6.523830
6 2 5 -0.241 -2.966432 5.337420 7.029796
7 3 3 0.000 1.974570 -5.822322 0.055941
8 3 4 0.241 1.351518 -5.330988 -0.483497
9 3 4 0.241 1.432321 -6.453045 0.534220
10 3 5 -0.241 2.499156 -5.437962 -0.204536
11 3 5 -0.241 2.545081 -6.075693 0.373892
12 4 3 0.000 -0.303498 -6.162543 3.206483
13 4 4 0.241 -1.092070 -5.686859 2.937271
14 4 4 0.241 -0.040864 -5.745013 4.029458
15 4 5 -0.241 -0.355103 -6.565718 2.635905
16 4 5 -0.241 0.242359 -6.598771 3.256659
17 5 3 0.000 8.568402 -8.040194 7.666078
18 5 4 0.241 8.863108 -8.593273 6.939547
19 5 4 0.241 9.102700 -8.319855 8.412343
20 5 5 -0.241 8.110783 -7.726608 7.238268
21 5 5 -0.241 8.246958 -7.571208 8.075344
22 6 3 0.000 4.245229 -8.936281 4.484443
23 6 4 0.241 3.928700 -8.757109 3.596579
24 6 4 0.241 4.913808 -8.266013 4.640454
25 6 5 -0.241 3.799862 -9.474973 4.531677
26 6 5 -0.241 4.359756 -9.195853 5.124972
27 7 3 0.000 4.022597 -2.714286 9.853138
28 7 4 0.241 4.612060 -3.254101 10.383919
29 7 4 0.241 3.856280 -1.938806 10.393106
30 7 5 -0.241 4.038548 -3.198799 9.347406
31 7 5 -0.241 3.608993 -2.451240 9.352627
32 8 3 0.000 5.323464 1.695677 -6.500387
33 8 4 0.241 6.216672 1.856045 -6.811927
34 8 4 0.241 5.229036 2.269564 -5.737279
35 8 5 -0.241 5.228800 1.233154 -7.017961
36 8 5 -0.241 4.667469 1.468181 -6.407176
37 9 3 0.000 5.391800 5.817071 -7.192665
38 9 4 0.241 5.668889 6.184073 -8.034763
39 9 4 0.241 4.851146 5.059961 -7.427343
40 9 5 -0.241 5.748028 6.319824 -6.859329
41 9 5 -0.241 5.283258 5.680926 -6.514097
42 10 3 0.000 -6.014243 7.676029 6.105179
43 10 4 0.241 -5.622630 7.579833 5.234558
44 10 4 0.241 -5.293902 7.983382 6.659470
45 10 5 -0.241 -6.630143 7.462130 5.848885
46 10 5 -0.241 -6.443307 7.691490 6.658746
47 11 3 0.000 9.611362 -9.576318 -7.268594
48 11 4 0.241 10.505692 -9.781789 -6.988322
49 11 4 0.241 9.209216 -9.161891 -6.502353
50 11 5 -0.241 9.748528 -9.850664 -7.898428
51 11 5 -0.241 9.011665 -9.498340 -7.622224
52 12 3 0.000 9.064961 1.517609 -1.133243
53 12 4 0.241 9.302855 0.850142 -1.780151
54 12 4 0.241 9.223035 2.351785 -1.580187
55 12 5 -0.241 8.901588 1.012540 -0.676092
56 12 5 -0.241 8.856222 1.866012 -0.562440
57 13 3 0.000 -4.269669 5.081527 6.253018
58 13 4 0.241 -4.663169 5.608218 5.554197
59 13 4 0.241 -4.426673 5.588231 7.052516
60 13 5 -0.241 -4.078206 4.601638 5.779921
61 13 5 -0.241 -3.943792 4.590279 6.631503
62 14 3 0.000 4.872840 4.979545 9.355826
63 14 4 0.241 5.587257 4.539388 8.890566
64 14 4 0.241 5.110298 4.907889 10.282689
65 14 5 -0.241 4.561117 5.115314 8.743317
66 14 5 -0.241 4.290034 5.324755 9.534542
67 15 3 0.000 7.589563 2.266915 -6.780810
68 15 4 0.241 7.154639 1.760916 -7.470304
69 15 4 0.241 7.390001 1.790936 -5.971974
70 15 5 -0.241 7.820810 2.719793 -7.262680
71 15 5 -0.241 7.954579 2.736854 -6.411091
72 16 3 0.000 0.117549 -9.876793 -6.038978
73 16 4 0.241 -0.215602 -9.108289 -6.506962
74 16 4 0.241 0.324697 -9.551366 -5.160467
75 16 5 -0.241 0.023213 -10.264893 -6.614522
76 16 5 -0.241 0.330297 -10.516720 -5.849230
77 17 3 0.000 -5.486585 -9.683095 -7.623702
78 17 4 0.241 -5.269934 -9.713042 -8.557919
79 17 4 0.241 -5.494882 -8.747903 -7.409357
80 17 5 -0.241 -5.520561 -10.382721 -7.611848
81 17 5 -0.241 -5.648412 -9.834176 -6.959053
82 18 3 0.000 -8.167336 -1.575511 3.173996
83 18 4 0.241 -7.811127 -2.015696 2.399433
84 18 4 0.241 -7.938421 -2.153562 3.904783
85 18 5 -0.241 -8.406099 -1.057885 2.766776
86 18 5 -0.241 -8.478447 -1.136242 3.622354
87 19 3 0.000 9.019467 -1.153455 6.241376
88 19 4 0.241 9.815796 -0.945183 5.748347
89 19 4 0.241 8.632362 -0.299147 6.443624
